module,method,path,purpose,auth,guards,pathParams,queryParams,requestSchema,requestFields,statusCodes,responseFormats,sourceFile
cash-bank-accounts,POST,/api/cash-bank-accounts,Create or execute action,session_cookie,requireAccountingAccess|requireCompanyRole,,companyId,cashBankAccountSchema (src/lib/validators/payments.ts),accountId|bankName|companyId|iban|name|openingBalance|status|type,400|401|403,json,src/app/api/cash-bank-accounts/route.ts
cash-bank-accounts,PATCH,/api/cash-bank-accounts/{accountId},Update existing data,session_cookie,requireCompanyRole,accountId,,cashBankAccountUpdateSchema (src/lib/validators/payments.ts),accountId|bankName|iban|name|openingBalance|status|type,400|401|403|404,json,src/app/api/cash-bank-accounts/[accountId]/route.ts
coa,GET,/api/coa,Read data,session_cookie,requireAccountingAccess|requireCompanyRole,,companyId,accountSchema (src/lib/validators/company.ts),code|companyId|isPosting|name|parentId|status|type,400|401|403|409,json,src/app/api/coa/route.ts
coa,POST,/api/coa,Create or execute action,session_cookie,requireAccountingAccess|requireCompanyRole,,companyId,accountSchema (src/lib/validators/company.ts),code|companyId|isPosting|name|parentId|status|type,400|401|403|409,json,src/app/api/coa/route.ts
coa,PATCH,/api/coa/{accountId},Update existing data,session_cookie,requireCompanyRole,accountId,,accountUpdateSchema (src/lib/validators/company.ts),code|isPosting|name|parentId|status|type,400|401|403|404|409,json,src/app/api/coa/[accountId]/route.ts
coa,POST,/api/coa/seed,Create or execute action,session_cookie,requireCompanyRole,,,coaTemplateSchema (src/lib/validators/company.ts),companyId|template,400|401|403,json,src/app/api/coa/seed/route.ts
companies,GET,/api/companies,Read data,session_cookie,,,,createCompanySchema (src/lib/validators/auth.ts),name,400|401,json,src/app/api/companies/route.ts
companies,POST,/api/companies,Create or execute action,session_cookie,,,,createCompanySchema (src/lib/validators/auth.ts),name,400|401,json,src/app/api/companies/route.ts
companies,GET,/api/companies/{companyId},Read data,session_cookie,requireAdminAccess|requireCompanyMembership,companyId,,companyProfileSchema (src/lib/validators/company.ts),,400|401|403|404,json,src/app/api/companies/[companyId]/route.ts
companies,PUT,/api/companies/{companyId},Update existing data,session_cookie,requireAdminAccess|requireCompanyMembership,companyId,,companyProfileSchema (src/lib/validators/company.ts),,400|401|403|404,json,src/app/api/companies/[companyId]/route.ts
companies,GET,/api/companies/{companyId}/config,Read data,session_cookie,requireAccountingAccess|requireAdminAccess,companyId,,companyConfigSchema (src/lib/validators/company.ts),adjustmentLastResetYear|adjustmentNextNumber|adjustmentPadding|adjustmentPrefix|adjustmentResetYearly|adjustmentSuffix|billApprovalThreshold|billLastResetYear|billNextNumber|billPadding|billPrefix|billResetYearly|billSuffix|billTemplate|creditLastResetYear|creditNextNumber|creditPadding|creditPrefix|creditResetYearly|creditSuffix|dateFormat|expenseLastResetYear|expenseNextNumber|expensePadding|expensePrefix|expenseResetYearly|expenseSuffix|invoiceLastResetYear|invoiceNextNumber|invoicePadding|invoicePrefix|invoiceResetYearly|invoiceSuffix|invoiceTemplate|onboardingCompleted|payrollApprovalThreshold|periodLockDate|receiptLastResetYear|receiptNextNumber|receiptPadding|receiptPrefix|receiptResetYearly|receiptSuffix|roundingMode|roundingPrecision|signatureEnabled|signatureImageUrl|signatureName|signatureTitle|taxInclusive|timeFormat|transferLastResetYear|transferNextNumber|transferPadding|transferPrefix|transferResetYearly|transferSuffix|vatEnabled|vatFilingFrequency|vatRate|vendorCreditLastResetYear|vendorCreditNextNumber|vendorCreditPadding|vendorCreditPrefix|vendorCreditResetYearly|vendorCreditSuffix|vendorPaymentLastResetYear|vendorPaymentNextNumber|vendorPaymentPadding|vendorPaymentPrefix|vendorPaymentResetYearly|vendorPaymentSuffix,400|401|403,json,src/app/api/companies/[companyId]/config/route.ts
